split,id,cultivation_system,governorate,zone_id,area_ha,bbox_min_lng,bbox_min_lat,bbox_max_lng,bbox_max_lat
train,parcel_1777662049508_exj14,intensif,Zaghouan,Zaghouan__lat182_lng50,74.01179995745333,10.00257968902588,36.43688971507524,10.015368461608888,36.45090596067027
train,parcel_1777662108262_dhxlg,intensif,Zaghouan,Zaghouan__lat182_lng50,370.10213776960774,9.985198974609377,36.44848954724571,10.013308525085451,36.47354754815066
train,parcel_1777662148660_qey6r,intensif,Zaghouan,Zaghouan__lat182_lng50,140.24199355289807,10.010690689086916,36.453943630751795,10.024724006652834,36.4718910708213
train,parcel_1777662294718_3mzv8,intensif,Kairouan,Kairouan__lat177_lng50,189.62078452448955,10.122742652893068,35.56716010512672,10.138771533966066,35.59291866638802
train,parcel_1777662316778_yiudt,intensif,Kairouan,Kairouan__lat177_lng50,38.67454215888897,10.121326446533205,35.58860869845245,10.129866600036623,35.596879444450046
train,parcel_1777662471199_933e1,intensif,Gafsa,Gafsa__lat173_lng44,81.67683945399635,8.968791961669924,34.748700427939056,8.98235321044922,34.75941932435652
train,parcel_1777662498867_hce6r,intensif,Gafsa,Gafsa__lat173_lng44,58.29151952127791,8.959211111068727,34.7450771968785,8.97112011909485,34.75465945985984
train,parcel_1777662509830_ph4tb,intensif,Gafsa,Gafsa__lat173_lng44,8.74310119685055,8.963663578033449,34.74365783433324,8.972557783126833,34.74997865887833
train,parcel_1777662532453_yoau8,intensif,Gafsa,Gafsa__lat173_lng44,35.54726370316011,8.964360952377321,34.740298873034156,8.975572586059572,34.747739537863566
train,parcel_1777662559509_oh30t,intensif,Gafsa,Gafsa__lat173_lng44,27.05542478094186,8.971667289733888,34.737874341044105,8.979831933975222,34.746135090987664
train,parcel_1777662581023_xa3jy,intensif,Gafsa,Gafsa__lat173_lng44,33.253440495313846,8.967365026474,34.73626088578684,8.975969552993776,34.74265280511292
train,parcel_1777662650200_lx0g1,intensif,Gafsa,Gafsa__lat173_lng44,402.06179939179646,8.82579803466797,34.65269732107385,8.856439590454103,34.68174639371215
train,parcel_1777662674673_x7v1z,intensif,Gafsa,Gafsa__lat173_lng44,177.95771135487206,8.796057701110842,34.63250168736153,8.81056308746338,34.65559209621326
train,parcel_1777662687780_8zuuk,intensif,Gafsa,Gafsa__lat173_lng44,32.665823337753025,8.810734748840334,34.636103366992494,8.81957530975342,34.645283411579584
train,parcel_1777662715410_fr6g1,intensif,Gafsa,Gafsa__lat173_lng44,128.78852899505316,8.827214241027834,34.61689260196024,8.850688934326174,34.632431064629024
