feature,importance
ndwi_std,0.06425101214574899
ndre_proxy_p90,0.06258138152430166
ndvi_p90_p10_amplitude,0.052386666666666665
ndre_proxy_std,0.05019010212097407
lai_proxy_std,0.0483089430894309
fapar_proxy_p90,0.048
b11_glcm_correlation,0.04636559139784945
ndvi_glcm_correlation,0.044192090395480214
fapar_proxy_mean,0.044
ndvi_p90,0.042190923317683884
lai_proxy_p90,0.042
ndvi_glcm_dissimilarity,0.03619294117647058
lai_proxy_mean,0.03342038010140765
ndvi_p50,0.031223442827872535
ndwi_p10,0.027945041322314044
ndvi_std,0.02646960235720271
ndwi_mean,0.02599917880329019
fapar_proxy_p50,0.02561485655671187
ndvi_mean,0.025557058823529412
ndre_proxy_mean,0.025032801101555046
ndvi_glcm_contrast,0.02451820637706307
b11_glcm_contrast,0.023535370034647174
ndre_proxy_p50,0.019501037034578884
ndvi_p10,0.017551869528392706
lai_proxy_p50,0.01741713080168776
lai_proxy_p10,0.015809897879025925
ndre_proxy_p10,0.015608720596672404
ndwi_p50,0.015607106391668363
ndwi_glcm_homogeneity,0.012507270602923028
ndvi_glcm_homogeneity,0.011826192346537987
fapar_proxy_std,0.011623992751362356
ndwi_p90,0.0035258424208422456
b08_glcm_correlation,0.0031938707528314457
ndwi_glcm_dissimilarity,0.002000000000000001
b11_glcm_homogeneity,0.0007751085029647315
bbox_width_deg,0.0007544117647058853
ndwi_glcm_correlation,0.00038095238095238123
b08_glcm_contrast,0.00036390977443609093
b08_glcm_ASM,0.00025000000000000434
lai_proxy_max,0.0002500000000000018
ndvi_glcm_energy,0.00024795081967213587
ndwi_min,0.0002474645030425966
lai_proxy_min,0.00019948849104859653
compactness_deg,0.00019209039548022887
vertex_count,0.0001901021209740816
ndvi_range,4.4809133956635635e-18
fapar_proxy_max,4.239507186737453e-18
valid_pixel_count,4.039997324180354e-18
perimeter_deg,3.988663032340207e-18
bbox_aspect_ratio,3.3029134982598394e-18
ndwi_max,3.0595184505535556e-18
polygon_area_deg2,3.0166841247236658e-18
ndvi_max,3.00279619233412e-18
ndwi_glcm_contrast,2.9776009530768725e-18
b08_glcm_homogeneity,2.636779683484746e-18
ndwi_glcm_energy,2.4885876335603654e-18
ndwi_glcm_ASM,1.840408167744009e-18
ndvi_glcm_ASM,1.840408167744009e-18
fapar_proxy_p10,1.7971735211119714e-18
valid_pixel_ratio,1.5116113489127124e-18
b08_glcm_dissimilarity,1.4155343563970745e-18
area_ha,7.954163643531546e-19
b11_glcm_dissimilarity,7.939776782167782e-19
b08_glcm_energy,7.558056744563562e-19
ndre_proxy_min,7.524844944681615e-19
b11_glcm_energy,7.0776717819853725e-19
b11_glcm_ASM,0.0
fapar_proxy_min,0.0
ndre_proxy_max,0.0
ndvi_min,0.0
seasonal_amplitude_available,0.0
bbox_height_deg,0.0
